"x"	"y"	"wt_elev"	"Y"	"X"	"xslope"	"yslope"	"elev"	"smag"	"dtw"
72	1	2339.56857465758	45	6435	0	0.277777777777778	2490	0.277777777777778	150.431425342416
73	1	2334.59772731442	45	6525	0	0.166666666666667	2485	0.166666666666667	150.40227268558
74	1	2329.61251169247	45	6615	0	0.222222222222222	2480	0.222222222222222	150.387488307531
75	1	2277.65575936657	45	6705	0	0.122222222222222	2428	0.122222222222222	150.34424063343
76	1	2257.71290162725	45	6795	0	0.288888888888889	2408	0.288888888888889	150.287098372747
77	1	2273.7231514675	45	6885	0	0.122222222222222	2424	0.122222222222222	150.276848532495
78	1	2244.83829563914	45	6975	0	0.177666666666664	2395	0.177666666666664	150.161704360863
79	1	2244.8137488093	45	7065	0	0.277777777777778	2395	0.277777777777778	150.186251190703
80	1	2277.92303179334	45	7155	0	0.0887777777777753	2428	0.0887777777777753	150.076968206658
81	1	2300.61543322479	45	7245	0	0.333333333333333	2401	0.333333333333333	100.384566775208
82	1	2269.82809614806	45	7335	0	1e-05	2370	1e-05	100.171903851939
83	1	2243.99534960928	45	7425	0	0.133333333333333	2324	0.133333333333333	80.0046503907188
84	1	2243.60261526814	45	7515	0	0.5	2284	0.5	40.3973847318557
85	1	2174.91878855253	45	7605	0	0.0333333333333333	2215	0.0333333333333333	40.0812114474652
86	1	2179.6036062511	45	7695	0	0.310999999999998	2190	0.310999999999998	10.3963937489016
87	1	2116.89214514475	45	7785	0	0.455555555555556	2121	0.455555555555556	4.10785485525093
88	1	2101.00009329986	45	7875	0	0.2	2101	0.2	-9.32998591451906e-05
89	1	2089.00011381073	45	7965	0	0.322222222222222	2089	0.322222222222222	-0.000113810733182618
90	1	2125.00012346681	45	8055	0	0.5	2125	0.5	-0.000123466805234784
91	1	2107.00018318924	45	8145	-0.2	0	2107	0.2	-0.000183189239578496
1	2	1264.00029993563	135	45	0.166666666666667	0	1264	0.166666666666667	-0.000299935632938286
2	2	1279.00017144116	135	135	0.166666666666667	0	1279	0.166666666666667	-0.000171441155089269
3	2	1300.00003242799	135	225	0.233333333333333	0.000233333333333333	1300	0.23333344999997	-3.24279853884946e-05
4	2	1317.00018454093	135	315	-0.266666666666667	0.000266666666666667	1317	0.266666799999967	-0.000184540929694776
5	2	1293.00071995487	135	405	0	0.122222222222222	1293	0.122222222222222	-0.000719954866326589
6	2	1326.00010431136	135	495	0.000488888888888889	0.488888888888889	1326	0.488889133333272	-0.000104311357063125
7	2	1326.00060638218	135	585	0	0.0444444444444444	1326	0.0444444444444444	-0.000606382181558729
8	2	1351.00027909807	135	675	0.277777777777778	0	1351	0.277777777777778	-0.00027909806885873
9	2	1404.00011665589	135	765	0.5	5e-04	1404	0.500000249999938	-0.000116655885904038
10	2	1404.00106586483	135	855	0	0.255	1404	0.255	-0.00106586482979765
11	2	1430.00024366306	135	945	0.288888888888889	0.000288888888888889	1430	0.288889033333297	-0.000243663060700783
12	2	1467.00015654896	135	1035	0.411111111111111	0	1467	0.411111111111111	-0.00015654895651096
13	2	1467.00160029066	135	1125	0.00011111111111101	0	1467	0.00011111111111101	-0.00160029066228162
14	2	1528.00009466358	135	1215	0.5	-5e-04	1528	0.500000249999938	-9.46635800573858e-05
15	2	1551.0000413146	135	1305	0.255555555555556	-0.000255555555555556	1551	0.255555683333302	-4.13145962738781e-05
16	2	1617.72931482418	135	1395	0.5	-5e-04	1620	0.500000249999938	2.27068517582393
17	2	1637.00006161801	135	1485	5e-04	-0.5	1637	0.500000249999938	-6.16180100223573e-05
18	2	1716.00005635515	135	1575	0.5	-5e-04	1716	0.500000249999938	-5.63551516279404e-05
19	2	1729.95534596544	135	1665	0.2	2e-04	1734	0.200000099999975	4.0446540345647
20	2	1763.82562461356	135	1755	0.422222222222222	-0.000422222222222222	1772	0.42222243333328	8.17437538643571
21	2	1789.60446442331	135	1845	0.311111111111111	0.000311111111111111	1800	0.311111266666628	10.3955355766934
22	2	1811.60282904848	135	1935	0.355555555555556	0.000355555555555556	1832	0.355555733333289	20.3971709515213
23	2	1831.57373237616	135	2025	0	0.140011111111111	1852	0.140011111111111	20.4262676238427
24	2	1842.60799767112	135	2115	0.140011111111111	0	1863	0.140011111111111	20.3920023288833
25	2	1843.86734570485	135	2205	0.233333333333333	0.000233333333333333	1884	0.23333344999997	40.1326542951488
26	2	1862.7319619474	135	2295	0.000277777777777778	0.277777777777778	1903	0.277777916666632	40.2680380526044
27	2	1875.80855614273	135	2385	0.144444444444444	-0.000144444444444444	1916	0.144444516666648	40.1914438572658
28	2	1895.75378727698	135	2475	0.000255333333333334	-0.255333333333334	1936	0.255333460999969	40.2462127230247
29	2	1938.59042373845	135	2565	0.477777777777778	-0.000477777777777778	1979	0.477778016666607	40.4095762615461
30	2	1952.55440596444	135	2655	0.000433333333333333	-0.433333333333333	2013	0.433333549999945	60.4455940355624
31	2	1988.55671135356	135	2745	5e-04	-0.5	2049	0.500000249999938	60.4432886464388
