"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70"
NA 55 55 55 55 55 55 55 55 56 54 54 53 53 53 53 53 53 53 53 53 53 49 49 49 49 50 50 50 50 50 50 56 56 56 56 56 56 56 56 52 52 52 52 49 49 49 48 48 49 52 52 53 53 53 53 53 53 53 55 55 55 55 55 55 55 55 55 55 NA
NA 55 55 55 55 55 55 55 55 57 57 54 54 53 53 53 53 53 53 53 53 53 53 53 49 49 50 50 50 50 50 56 56 56 56 56 56 56 56 57 57 57 57 52 52 49 49 48 48 49 52 52 53 53 53 53 53 53 53 55 55 55 55 55 55 55 55 55 55 NA
NA 55 55 55 55 55 55 55 55 58 58 58 58 58 58 53 53 53 53 53 53 53 53 53 49 49 49 50 50 50 50 56 56 56 56 56 56 56 56 58 58 58 58 58 58 58 58 58 58 58 58 52 53 53 53 53 53 53 53 55 55 55 55 55 55 55 55 55 NA NA
NA 55 55 55 55 59 59 59 59 59 58 58 58 58 58 58 58 53 53 53 53 53 53 53 53 49 49 50 50 50 56 56 56 56 56 56 56 56 56 58 58 59 58 58 58 58 58 58 58 58 58 58 58 53 53 53 53 53 53 55 55 55 55 55 55 55 NA NA NA NA
NA 55 55 55 60 60 60 60 60 59 59 59 58 58 58 58 58 58 58 58 53 53 53 53 53 49 49 50 50 50 56 56 56 56 56 56 56 56 56 58 58 60 58 58 58 58 58 58 58 58 58 58 58 53 53 53 53 53 55 55 55 55 55 55 55 NA NA NA NA NA
NA 63 63 63 63 61 61 61 61 61 61 61 61 61 58 58 58 58 58 58 58 53 53 53 53 50 50 50 50 50 56 56 56 56 56 56 56 56 56 58 61 61 61 61 61 61 61 61 61 61 61 61 58 53 53 53 53 53 55 55 55 55 55 55 NA NA NA NA NA NA
NA 63 63 63 63 63 63 62 62 61 61 61 61 61 61 61 58 58 58 58 58 58 53 68 68 68 68 50 67 67 67 67 56 56 56 56 56 56 56 62 62 61 61 61 61 62 62 62 62 62 62 62 62 62 53 53 53 53 55 55 55 55 NA NA NA NA NA NA NA NA
NA 63 63 63 63 63 63 63 63 61 61 61 61 61 61 61 58 58 58 58 58 58 68 68 68 68 68 68 67 67 67 67 67 67 56 56 56 62 62 62 62 61 61 61 61 63 63 62 62 62 62 62 62 62 62 62 62 NA NA NA NA NA NA NA NA NA NA NA NA NA
NA 63 63 63 63 63 63 64 63 61 61 61 61 61 61 61 61 58 58 58 58 68 68 68 68 68 68 68 67 67 67 67 67 67 67 62 62 62 62 62 62 61 61 61 61 64 64 64 64 64 64 62 62 62 62 62 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA 63 63 63 63 65 65 65 65 65 65 65 65 65 65 65 65 65 71 68 68 68 68 68 68 68 68 68 67 67 67 67 67 67 67 62 62 62 62 62 62 62 62 62 62 64 64 64 64 64 64 64 64 62 62 62 62 NA NA NA NA NA NA NA NA NA NA NA NA NA
NA 63 63 63 65 65 65 65 66 66 66 66 66 66 68 68 68 68 71 68 68 68 68 68 68 68 68 68 67 67 67 67 67 67 67 62 62 62 62 62 62 62 62 62 62 62 64 64 64 64 64 64 64 64 62 62 62 NA NA NA NA NA NA NA NA NA NA NA NA NA
NA 63 63 65 65 65 65 65 66 67 67 67 68 68 68 68 68 68 71 69 68 68 68 68 68 68 68 68 67 67 67 67 67 67 67 67 62 62 62 62 62 62 62 62 62 62 64 64 64 64 64 64 64 64 62 62 62 72 72 72 72 72 72 72 72 NA NA NA NA NA
NA 63 63 65 65 65 65 68 68 68 68 68 68 68 68 68 68 72 71 69 69 68 68 68 68 68 68 68 68 68 68 67 67 67 67 67 62 62 62 62 62 62 62 62 62 62 64 64 64 64 64 64 64 64 78 78 62 72 72 72 72 72 72 72 72 72 NA NA NA NA
NA NA 63 70 70 70 70 68 69 69 69 69 69 69 69 69 69 72 71 69 69 69 69 69 68 68 68 68 68 68 68 68 67 67 67 67 62 62 62 62 62 62 62 62 62 62 64 64 64 64 64 64 78 78 78 78 72 72 72 72 72 72 72 72 72 72 72 72 NA NA
NA NA 63 70 70 70 70 70 70 70 69 70 70 70 70 70 72 72 71 70 70 70 70 70 68 68 68 68 68 68 68 68 67 67 67 67 67 62 62 62 62 62 62 62 62 62 64 64 64 64 64 78 78 78 78 78 78 72 72 72 72 72 72 72 72 72 72 72 NA NA
NA NA 71 71 71 71 71 71 71 70 69 70 70 71 71 71 72 72 71 71 71 70 70 70 70 68 68 68 68 68 68 68 67 67 67 67 67 67 62 62 62 62 62 62 62 62 64 64 64 64 64 78 78 78 78 78 78 72 72 72 72 72 72 72 72 72 72 72 NA NA
NA 71 71 71 71 71 71 71 71 70 69 70 70 72 72 72 72 72 72 72 72 70 70 70 70 68 68 68 68 68 68 68 68 68 67 67 67 67 62 62 62 62 62 62 62 62 64 64 64 64 78 78 78 78 78 78 78 78 72 72 72 72 72 72 72 72 72 72 72 72
NA NA 71 71 71 71 71 71 71 71 69 70 70 72 72 72 73 73 73 74 74 74 74 76 76 68 76 68 68 68 68 68 68 68 68 68 68 78 78 78 78 62 62 62 62 62 64 64 64 78 78 78 78 78 78 78 78 78 72 72 72 72 72 72 72 72 72 NA NA NA
NA NA NA 71 71 71 71 71 71 71 69 70 70 72 72 72 73 74 74 74 74 75 76 76 76 76 76 76 76 68 68 68 68 68 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 72 72 72 72 72 72 72 72 NA NA NA NA
NA NA NA 71 71 71 71 71 71 71 71 72 72 72 72 74 74 74 74 75 75 75 76 76 76 76 76 76 76 76 80 80 79 78 78 78 78 78 78 78 78 78 78 78 78 78 85 85 81 78 78 78 78 78 78 78 78 78 85 85 72 72 72 72 72 72 NA NA NA NA
NA NA NA 71 71 71 71 71 71 71 71 72 72 72 72 74 74 74 74 75 76 76 76 76 76 76 76 79 79 80 80 80 79 79 78 78 78 78 78 78 78 78 78 78 78 78 85 85 81 81 81 78 78 78 78 78 78 78 85 85 85 72 72 72 72 72 NA NA NA NA
NA NA NA NA 71 71 71 71 71 71 71 72 72 72 72 74 74 74 74 75 76 77 76 76 78 79 79 79 79 80 80 80 79 79 78 78 78 78 78 78 78 78 78 85 85 85 85 85 81 81 81 81 78 78 78 78 78 85 85 85 85 85 85 NA NA NA NA NA NA NA
NA NA NA NA 71 71 71 71 71 71 71 72 72 72 72 74 74 74 74 75 78 78 78 78 78 79 79 79 80 80 80 80 79 79 78 78 78 78 78 78 78 78 85 85 85 85 85 85 81 81 81 81 78 78 78 78 85 85 85 85 85 85 85 85 NA NA NA NA NA NA
NA NA NA NA NA 71 71 71 71 71 71 71 71 72 72 74 74 74 74 75 78 78 78 79 79 79 79 79 80 80 80 80 79 79 79 79 78 78 78 78 78 85 85 85 85 85 85 85 81 81 81 81 79 85 85 85 85 85 85 85 85 85 85 85 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA 71 NA NA 90 90 90 74 74 74 78 78 78 78 79 79 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 85 85 85 85 85 85 85 85 85 81 81 81 80 85 85 85 85 85 85 85 85 85 85 85 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA 90 90 90 90 90 90 90 78 78 79 79 79 80 81 81 81 82 82 80 80 80 80 80 80 80 80 87 87 86 85 85 85 85 85 85 85 85 81 81 81 85 85 85 85 86 85 85 85 85 85 85 85 NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA 90 90 90 90 90 90 79 79 79 79 79 79 80 81 82 82 82 82 82 83 80 80 80 80 80 80 87 87 86 85 85 85 85 85 85 85 85 NA 82 82 85 86 86 86 86 85 85 85 85 85 85 85 87 NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA 90 90 90 90 90 90 90 79 79 79 79 79 80 81 82 82 83 83 83 83 83 83 80 87 87 87 87 87 86 85 85 85 85 85 85 NA NA NA 83 83 85 86 86 86 86 85 85 85 85 85 85 85 87 NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA 90 90 90 90 90 90 90 90 79 79 79 79 82 82 82 82 84 84 84 85 85 87 87 87 87 87 87 87 86 85 85 85 85 85 NA NA NA NA 84 84 85 86 86 86 86 85 85 85 85 85 85 85 87 NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA 90 90 90 90 90 90 90 90 90 90 79 79 82 82 82 84 84 85 85 85 85 87 87 87 87 87 87 87 86 85 85 85 85 NA NA NA NA NA 85 85 85 86 86 86 NA NA NA 85 85 85 85 85 87 90 NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA 90 90 90 90 90 90 90 90 90 90 90 82 82 82 82 84 84 86 86 86 87 87 87 87 87 87 87 87 86 86 86 85 NA NA NA NA NA NA NA 86 86 86 86 86 NA NA NA 86 86 86 86 86 87 90 NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA 90 90 90 90 90 90 90 90 NA NA NA NA 82 82 86 86 86 86 87 87 87 87 87 87 87 87 87 87 87 87 87 NA NA NA NA NA NA NA NA NA 87 NA NA NA NA NA NA NA 87 87 87 87 87 90 NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA 90 90 90 90 90 90 90 NA NA NA NA NA NA 86 86 86 86 86 87 87 87 87 87 87 87 87 87 NA NA NA NA NA NA NA NA NA NA NA NA NA 88 NA NA NA NA NA NA NA NA 88 88 88 88 90 NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA 90 90 90 90 90 90 90 NA NA NA NA NA NA NA 86 86 86 86 87 87 87 87 87 87 87 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 89 NA NA NA NA NA NA NA NA 90 90 89 89 90 NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA 90 90 90 90 90 NA NA NA NA NA NA NA NA NA 86 86 86 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 90 NA NA NA NA NA NA NA NA 90 90 90 90 90 NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA 91 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 91 NA NA NA NA NA NA NA NA NA NA NA NA 91 NA NA NA
