"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70"
NA 14 13 12 13 14 15 6 5 4 3 2 1 0 0 3 2 1 2 3 4 5 6 7 8 9 13 14 15 7 1 0 0 1 2 3 1 0 2 0 0 0 1 2 3 5 6 7 8 9 3 2 2 3 4 5 6 7 8 9 10 11 15 16 NA NA NA NA NA NA
NA 15 14 13 14 15 16 7 6 5 4 2 1 0 1 4 3 2 3 4 5 6 7 8 9 10 14 15 16 8 1 0 1 2 3 3 2 1 2 1 1 0 0 0 0 0 1 8 9 10 11 3 3 4 5 6 7 8 9 10 11 12 16 17 NA NA NA NA NA NA
NA 16 15 14 15 16 17 6 5 4 3 2 1 0 0 0 4 3 4 5 6 7 8 9 10 11 15 16 17 2 1 0 2 3 4 5 3 2 3 4 2 1 2 1 1 0 1 2 10 11 12 13 4 5 6 7 8 9 10 11 12 13 17 NA NA NA NA NA NA NA
NA NA 16 15 16 17 6 5 4 3 2 1 0 0 1 0 5 4 5 6 7 8 9 10 11 12 18 17 18 2 1 0 3 4 5 6 4 3 4 5 6 7 3 2 2 0 1 3 11 12 13 14 15 6 7 8 9 10 11 12 13 14 15 NA NA NA NA NA NA NA
NA NA 17 16 17 10 7 6 4 3 2 1 0 1 2 0 1 5 6 7 8 9 10 11 12 13 19 3 2 1 0 0 4 5 6 7 5 4 5 6 7 8 2 1 0 0 0 1 2 3 14 15 16 7 8 9 10 11 12 13 14 15 16 NA NA NA NA NA NA NA
NA NA 18 17 10 9 6 5 4 3 2 1 0 2 3 0 0 1 7 8 9 10 11 12 13 14 4 3 2 1 0 1 5 6 7 8 6 5 6 7 8 2 1 0 0 1 0 1 2 3 15 16 17 18 19 20 21 22 23 14 15 16 17 NA NA NA NA NA NA NA
NA 20 19 18 9 8 5 4 3 2 1 0 0 1 4 1 0 1 2 9 10 11 12 13 14 15 5 2 1 0 0 2 6 7 9 8 7 6 7 8 9 2 1 0 1 2 0 0 3 4 16 17 18 19 20 21 22 23 24 25 26 27 NA NA NA NA NA NA NA NA
NA 21 20 9 8 7 6 5 3 2 1 0 1 2 5 2 0 1 3 4 11 12 13 14 15 16 4 3 2 0 1 3 7 8 10 9 8 7 8 9 10 2 1 0 2 3 1 0 0 1 2 3 19 20 21 22 23 24 25 26 27 28 NA NA NA NA NA NA NA NA
NA 22 9 8 7 6 5 4 3 2 1 0 1 2 6 1 0 1 4 5 6 7 14 15 16 17 2 1 0 0 1 4 8 9 11 10 9 8 9 10 2 1 0 0 3 4 2 1 0 0 0 0 1 2 3 4 5 6 7 8 9 10 NA NA NA NA NA NA NA NA
NA 23 10 9 8 7 6 5 4 3 2 0 2 3 7 2 1 2 3 4 5 6 7 8 17 3 2 1 0 1 2 3 9 10 12 11 10 9 10 11 2 1 0 1 2 5 3 2 1 1 2 0 1 3 4 5 6 7 8 9 10 11 NA NA NA NA NA NA NA NA
