"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70"
NA 4 4 4 4 4 5 5 5 5 5 17 17 18 18 18 18 18 19 19 21 21 21 21 21 21 21 21 21 30 31 32 33 33 33 33 33 33 33 33 33 42 43 44 45 46 46 48 49 49 52 52 52 52 52 55 56 56 56 56 56 56 56 NA NA NA NA NA NA NA
NA 4 4 4 4 4 5 5 5 5 17 17 17 17 17 17 17 18 18 18 21 21 21 21 21 21 21 21 21 33 33 33 33 34 35 36 36 38 33 33 33 33 43 44 45 46 46 48 49 49 52 52 52 52 52 55 56 56 56 56 56 56 56 56 NA NA NA NA NA NA
NA 4 4 4 4 4 5 5 5 5 17 17 17 17 17 17 17 18 18 18 18 21 21 21 21 21 21 21 21 33 33 33 33 34 35 36 37 38 38 38 40 40 43 44 44 46 46 46 49 50 51 52 52 52 52 55 55 56 56 56 56 56 56 56 56 NA NA NA NA NA
NA 4 4 4 4 4 5 5 5 14 14 14 15 15 16 16 17 18 18 18 18 18 21 21 21 21 21 21 21 33 33 33 33 34 35 36 37 38 39 40 40 40 43 44 44 46 46 46 49 49 51 52 53 53 53 53 53 53 53 56 56 56 56 56 NA NA NA NA NA NA
NA 4 4 4 4 4 5 5 5 14 14 14 15 15 15 16 17 18 18 18 18 18 18 21 21 21 21 21 21 33 33 33 33 34 35 36 37 38 39 40 40 40 42 42 42 46 46 46 49 49 51 52 53 53 53 53 53 53 53 53 53 56 56 56 NA NA NA NA NA NA
NA 4 4 4 4 4 4 14 14 14 14 14 14 14 15 17 17 18 18 18 18 18 18 18 18 18 21 21 21 33 32 32 33 34 34 36 38 38 39 40 41 42 42 42 42 46 46 46 46 46 52 52 53 53 53 53 53 53 53 53 53 53 56 56 NA NA NA NA NA NA
NA 4 4 4 4 4 4 14 14 14 14 14 14 14 15 17 17 18 18 18 18 18 18 18 18 18 21 21 21 33 32 32 33 34 34 38 38 38 38 40 41 42 43 44 45 46 46 46 46 46 46 52 53 53 53 53 53 53 53 53 53 53 56 56 NA NA NA NA NA NA
NA 4 4 4 4 4 4 14 14 14 14 14 14 14 15 16 18 18 18 18 18 18 18 18 18 18 21 21 21 32 32 32 33 34 34 34 38 38 38 38 41 42 42 44 45 46 46 46 46 46 46 46 53 53 53 53 53 53 53 53 53 53 56 NA NA NA NA NA NA NA
NA NA 4 4 4 4 13 13 13 13 13 13 13 14 14 16 18 18 18 18 18 18 18 18 18 18 21 21 21 32 32 32 33 34 34 34 38 38 38 38 38 38 42 44 45 46 46 46 46 46 46 46 46 53 53 53 53 53 53 53 53 53 53 NA NA NA NA NA NA NA
NA NA 4 4 4 12 12 12 13 13 13 13 13 14 14 16 16 18 18 18 18 18 18 18 18 18 21 31 31 31 31 32 33 34 34 34 38 38 38 38 38 38 45 45 45 46 47 47 47 47 46 46 46 53 53 53 53 53 53 53 53 53 53 NA NA NA NA NA NA NA
NA NA 4 4 12 12 12 12 12 12 13 13 13 14 14 16 17 17 18 18 18 18 18 18 18 18 30 30 30 31 31 32 33 34 34 34 38 38 38 38 38 44 44 44 45 46 47 47 47 47 46 46 46 46 46 46 46 46 46 53 53 53 53 NA NA NA NA NA NA NA
NA 4 4 4 12 12 12 12 12 12 12 12 13 13 14 16 17 17 17 18 18 18 18 18 18 18 30 30 30 30 31 32 33 34 38 38 38 38 38 38 38 44 44 44 45 46 47 48 47 47 46 46 46 46 46 46 46 46 46 46 46 46 NA NA NA NA NA NA NA NA
NA 4 4 12 12 12 12 12 12 12 12 12 13 13 14 16 17 17 17 17 18 18 18 18 18 18 30 30 30 30 31 32 33 34 38 38 38 38 38 38 38 44 44 44 45 45 47 48 49 49 49 49 46 46 46 46 46 46 46 46 46 46 NA NA NA NA NA NA NA NA
NA 4 12 12 12 12 12 12 12 12 12 12 12 12 14 17 17 17 17 17 17 17 18 18 18 18 29 29 29 30 30 32 33 34 38 38 38 38 38 38 43 43 43 44 45 45 47 48 49 50 51 52 52 52 52 52 52 52 52 52 52 52 NA NA NA NA NA NA NA NA
NA 4 12 12 12 12 12 12 12 12 12 12 12 12 14 17 17 17 17 17 17 17 17 17 18 29 29 29 29 30 30 30 33 34 38 38 38 38 38 38 43 43 43 44 44 45 48 48 49 50 50 52 52 52 52 52 52 52 52 52 52 52 NA NA NA NA NA NA NA NA
NA 4 12 12 12 12 12 12 12 12 12 12 12 12 12 17 17 17 17 17 17 17 17 17 17 29 29 29 29 30 30 30 33 34 38 38 38 38 38 40 42 42 43 43 44 48 48 48 49 50 50 52 52 52 52 52 52 52 52 52 52 NA NA NA NA NA NA NA NA NA
NA NA 12 12 12 12 12 12 12 12 12 12 13 13 13 13 13 17 17 17 17 17 17 17 17 29 29 29 29 30 30 30 33 34 38 38 40 40 40 40 41 42 43 43 44 48 48 48 49 50 50 52 53 53 53 52 52 52 52 52 52 NA NA NA NA NA NA NA NA NA
NA NA 10 10 10 10 10 10 10 10 12 12 13 14 15 15 15 15 15 15 17 17 17 17 17 29 29 29 29 29 29 29 33 34 40 40 40 40 40 40 41 42 43 44 44 48 48 48 49 50 50 52 53 53 53 53 53 53 53 52 52 NA NA NA NA NA NA NA NA NA
NA NA 10 10 10 10 10 10 10 10 11 12 13 14 15 15 15 15 15 15 17 17 17 17 17 17 29 29 29 29 29 29 29 39 39 40 40 40 40 40 41 41 41 41 44 44 48 48 49 49 50 52 53 53 53 53 53 53 53 53 NA NA NA NA NA NA NA NA NA NA
NA 10 10 10 10 10 10 10 10 10 11 12 13 13 15 15 15 15 15 15 17 17 17 17 17 17 29 29 29 29 29 29 29 39 39 39 39 40 40 40 41 41 41 41 44 44 48 48 49 49 50 52 53 53 53 53 53 53 53 53 69 69 69 69 69 69 69 69 69 70
NA 10 10 10 10 10 10 10 10 10 11 12 13 13 15 15 15 15 15 15 15 15 17 17 17 17 29 29 29 29 29 29 39 39 39 39 39 39 39 40 41 41 41 41 44 44 44 48 48 49 52 52 53 53 53 53 53 53 53 69 69 69 69 69 69 69 69 69 69 NA
